#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
contempt n. 	 balfa i ; tuffii ni      
content, be v. 	 gammada madda       
contest n. 	 falamaa ni; lolla lolta      
continue v. 	 fufa fufta       
continue v. 	 unta untita; guula lta      
contract n. 	 kontoraata i (Ital.)       
converse v. 	 hasaha soofta       
convulsions, have v. 	 birbirfadha fatta       
cooked well v. 	 bilchaadha chaata       
cooking pot n. 	 eelee ni; sufuriaa ni (Swa.); diftii; distii      
cool v. 	 kufa kufta       
coolie n. 	 kulii ni       
copper n. 	 sagaya eeti       
copse n. 	 haafa i       
copy v. 	 fakkeessa sita       
cord n. 	 miseensa i       
	       
corner n. 	 konaa ni (Engl); jiroo ni (Ital.); dagalee ni; rakkoo ni; roga i   
corpse n. 	 reefa i       
corpulent (adj.) 	 tiira        
correct (adj.)	 sirri; dhugaa        
correct v. 	 midhaassa sita       
correct, be v. 	 diriira rta       
	       
correctly (adv.) 	 sirri; dhugaa; shonaani; sonaani; dhugumaa        
corrode v. 	 dandaha doofta       
cost 	 n. gatii ni       
	       
cotton n. 	 jirbii ni(Amh); shuufii ni (Amh.)      
cotton plant n. 	 fuutaa ni       
coucal (bird) n. 	 urdudee ni       
cough v. qufaha	ta        
	       
coughing n. 	 fe'uu ni; gororsaa ni; luuxa i     
councilor n. 	 adullaa ni       
	       
count v. 	 heda hedda; lakaha koofta (Orom.); to'adha atta     
counting n. 	 lakawaa ni       
	       
country n. (flat) 	 gaarjala i; country(side) n.   badiaa ni     
country person n. 	 nama badiaa; nama rayaa ni (Swa.)       
courage n. 	 onnee ni       
courageous, be 	 jabaadha, baatta        
cousin n. 	 dubrii ni       
cover v. 	 daha daata;   cubussa sita; daboola lta; diba bda; suuqa suuxxa;  
	       
uyyisa	yifta; keeyyadha atta; n.   gulubii ni     
cover something v. 	 ilatefadha fatta       
	       
	       
	       
	       
	       
C 	       
	       
	       
	       
covet v. 	 dareena nta       
	       
cow n. 	 sa'a, (pi.) sa'awani; (young female) goroomsa i; raada; looni       
	       
coward n. 	 daafanaa ni; dannabaa ni      
	       
coward, be v. 	 abeeba bda       
	       
cowbell n. 	 korree ni; saankura i      
	       
cowdung n 	 (dry) kosii ni; (wet) dhoqee; cancana       
	       
cowhide n. 	 itillee ni       
	       
co	wife n.   massanuu ni      
	       
cowrie (shell) n. 	 eleelaani        
	       
crack v. 	 baqaqa qaxxa; basaqa saxxa; cira cirta; falaxa xxa;    
	       
dhachisa	chifta; n. baqaqaa ni; cabaa ni      
crack, have v. 	 bututa, tutta        
cracked, be v. 	 falaana nta; cita citta      
crackle v. 	 baraqisa qifta; kakisa  kifta; xaaxaha xoofta     
crackling (sound) n. 	 wakii ni       
cracklings n. 	 gugublee ni       
cramps (of stomach) n. 	 maxana        
cranky, be v. 	 bitataha toofta       
crave v. 	 dharaha raata       
craving n. 	 dhawwa dhoofta       
crawl v.	 curruuqa ruuxxa       
crazy person n. 	 maraataa ni       
creak v. 	 baraqisa qifta; kakisa  kifta      
create v. 	 uuma ta       
creation n. 	 uumaa ni; uumama i      
crevice n. 	 gootuu ni       
cricket n. 	 korophuu ni       
cripple n. 	 naafa i; v. naafisa fifta      
crippled, be v. 	 kokotaha toofta; okola lta      
criticize v. tukiffadha	fatta        
croak v. 	 kaakkisa  kifta       
crocodile n. 	 nyaacha i       
crook n. 	 mookoo ni       
crooked, be v. 	 golompadha fatta       
cross n. 	 masqala i (Amh.); fannoo (Bor.)       
cross over v. 	 taakka kita; dabra barta;kara murre murte     
cross, be v. 	bitataha toofta; bukana'a noofta      
crotch n. 	 gombora i ; kaaraa       
crouch v. 	 ripha phta       
crow n. 	 haranqeessa i       
	       
crowd n. 	 beena i; biyya yiti; gumi; gubbaa ni ; hedduu ni; uumata i   
crowd, be v. 	 guma gumita; gobba bita; tuuta'a toofta; tucha chita    
crowded (adj.) 	 mijuu        
cruel (adj.) 	 hammaa, hamtuu, hammoo        
	       
	       
	       
	       
	       
C 	       
	       
	       
	       
c 	       
	       
	       
	       
crumble v. 	 burkutaha toofta; caccabsa ita;; buburusa sita     
crush v. 	 carassa sita; hurrawa roofta; macarsa sita; tuma tumta;    
	       
urba	urbita        
crushed, be v. 	 busuqa suxxa       
crust (of salt) n. 	 muludee ni       
cry v. 	 boo'a boota; nyonyola lta      
cry loudly v. 	 wakala lta       
cry out v. 	 kolissa sita       
cub (lion) n. 	 kublee ni       
culmination n. 	 mingaa ni       
	       
cup n. 	 buduunuu ni; muduunuu ni ; kokii ni (Amh.); kokobee ni; kubayee ni   
curds n. 	 itituu ni; (of camels) chuuchee ni; kalbaa  ni     
cured, be v. 	 fayya fayyita       
curls n. 	 martii ni       
curse v. 	 arabsa sita; n.   abaara      
curtain n. 	 sharankii ni (Gab.)       
curve n. 	 mookoo ni; daba i      
cut (fodder) v.	 oka'a okeeta       
cut (the throat) v. 	 gorraha rata       
cut n. 	 madaa ni       
	       
cut off v. 	 bassa bassita; irraa mura rta      
	       
cut v. 	 (grass) haama mta; (bush) cira ta; cira cirta; kuta kutta; mura murta   
cyst n. 	 xandacha i       
	       
	       
	       
dagger n. 	 billahaa ni; billawaa ni      
	       
daily (adv.) takhaan 	       
	       
dais n. 	 madabbii ni (Amh.)       
	       
damage v. 	 madeessa sita; nyaadha nyaata; yakka kita     
	       
damp v. 	 qomora rta; dhukuuda kuutta; (adj.) jiida, jiitujiido      
	       
dampen v. 	 dhukuusa sita; quyisa yifta; pers. quyifadha fatta;   bilbila lta   
	       
dampness n. 	 dabana i       
	       
dance n. 	 sirba i; v. sirba bita; v. dhawwa dhoofta     
	       
dandruff n. 	 renjii ni       
	       
dangle v. 	 fanafadha fatta; raraha raata; rootisa tifta     
	       
dangling (thing) n. 	 soontoo ni       
	       
dark and dirty, be v. 	 leemaha moofta       
	       
dark and nice (thing) n. 	 kuula i       
	       
dark, become v. 	 bolgoda dda; qaqa'a qoofta      
	       
darken v. 	 kuuladha latta       
	       
darkness n. 	 siphee ni; dukkana ti      
	       
dash around v. 	 garmaama mta       
	       
date palm n. 	 meexii ni       
	       
daughter n. 	 dubra dubarti; intala lti      
	       
	       
	       
	       
	       
D 	       
	       
	       
	       
dawn n. 	 barii; boruu ni; n.  haachata i; ganama i; ; v.   bari'a barita:  
	       
ganama	mta; haachata chatta; bari'a rita; iffa ifta     
day n. 	 ardhaa ni; guyyaa ni      
day after tomorrow n. 	 iftaan        
daybreak n. 	 biiftuu ni; ganama i      
daylight n. 	 guyyaa ni; orraa ni; guyyaa guddaa      
death n. 	 du'iisa i       
debt n. 	 liqee ni(Amh.)       
decade n. 	 kurnya i       
decay v. 	 shama mta       
decayed v. 	 hofoofa foofta       
deceit n. 	 sosobachaa ni       
deceitful (person) n. 	 mixixama i       
	       
deceive v. 	 dogongora rta; soba bda; sosoba bda; malteessa sita    
decide v. 	 kuta kutta; mariadha riatta; mura murta; itti mura rta    
decision n. 	 maftii ni (Amh.); marii ni      
declare v. 	 baana nta; diideesa sita; hima himta     
decorate v. 	 midhaassa sita       
	       
decrease v. 	 hamussa+jedha; v.   irraa mura rta; kosa kocca     
decree v. 	 seera rta       
deep (adv.) 	 dheera; gadi; ga        
deepness n. 	 qilee ni       
defeat v. 	 curda dita; dabsadha satta      
defend n. 	 cibra rita; sima simta      
defense n. 	 simaa ni; simana i      
deformation n. 	 madara i       
defy v. 	 findhaara rta; qiriba bda; tura turta     
deliberate v. 	 mariadha riatta       
delicious, be v. 	 miyawa yoofta       
deliver v. 	 kenna kennita       
delivery n. 	da'isa i       
demolished v. 	 hofoofa foofta       
demon n. 	 jinni ni (Amh)       
	       
den (hiding place) n. 	 aaroo, ni; goda i; mandhee ni      
dense vegetation n. 	 rima i       
dense, be v. 	 gobba bita; bora borta      
dent n. 	 kakalawee  ni; mudhii ni; v. mudheessa sita     
dented, be v. 	 dhamooqa mooxxa; mookadha katta      
deny v. 	 dida didda; kijjiba bda      
depend on v. 	 abda, abdita        
despise v.	 goyeessa sita; qalada ladda (Amh.)      
depopulate v. 	 onsa sita       
depress v. mudheessa	sita        
	       
	       
	       
	       
	       
	       
	       
D 	       
	       
	       
	       
depression n. 	 dareera i; (small) n.   kolbaa ni;   kakalawee  ni;   
	       
kiliwee	ni; malbee ni; malkaa ni; mudhii ni;     
deprive v. 	 dhabsiisa siifta       
depth n. 	 dhidhima i; dhimphuu ni; qilee ni     
deranged, be v. 	 midhika dhitta       
descend v. 	 bua buuta       
	       
descendants n. 	 eegee ni; miiloo ni; maatii ni; maayamaatii ni    
desert n. 	 barayaa ni; gammoojjii ni; golboo ni     
deserted place n. 	 alloo ni       
deserted, be v. 	 ona onta       
deserter n. 	 kaadaa  ni (Amh)       
desire v. 	 araadda i; dareena nta; daalaa ni; v. daarima mta; halcha chita;   
	       
mirqanna	nta; fedha fetta; dharaha raata; n. dharraa ni; fedhii ni    
despair v. 	 ufi jibadha tta; abdi inqabu bdu; n.   jibbaata i    
despise v. 	 burungaha goofta; balfa fita; burungaha goofta; miidha miitta;    
	       
tuffadha	fatta        
despising n. 	 qaldii ni       
destiny n. 	 dhaacii ni       
destitute v. 	 qolla'a loofta; daara rta      
destroy v. 	 laaba laabda; qola qolta; qunquma mta; raawachiisa chiifta;    
	       
yakka	kita        
destroyed, be v. 	 raawadha watta; dhuma dhumta      
destructive, be v. 	 nyanyaha yoofta; n. nyanyoo ni      
detach v. 	 hiika hitta       
detest v. 	 abaara rta       
detour n. 	 martoo ni       
devastate v. 	 onsa sita       
develop v. 	 dagaga gaada       
development n. 	 limaatii ni (Amh.)       
devil n. 	 shexaana i       
devious (person) n. 	 si'aasa ni (Swa.)       
deviousness n. 	 si'aasaa ni       
devoted to n. 	 marroo ni       
dew n. 	 fixeesa i       
dewlap n. 	 malulaa ni; maala i      
diarrhoea n. 	 albaatii        
	       
diarrhoea, have v. 	 curra rita; albaha ta; ka'a kaati gaaraa     
die v. 	 cicha cichita; dua doota; hobaha baata     
different (adj.) 	 gargari        
difficult (situation) n. 	 hooloo ni       
difficulty n. 	 dhiphuu ni; dhiba; rakkoo ni; nartii ni (Amh.); raraha i;    
	       
difficulty v. have rakkadha	katta; gaargala lta; sababba i;      
	       
dig v. 	 qota qotta       
	       
digging n. 	 qotii ni; qotiisa i      
	       
	       
	       
	       
	       
D 	       
	       
	       
	       
D 	       
	       
	       
	       
dikdik n. 	 tarrii ni       
	       
diluted v. 	 soolaha loofta; (adj.) soolicha, soolitti       
	       
dim, be v. 	 wara'a roofta; bcome dimimiisa miifta      
	       
diminish v. 	 caba bta ; kosa kocca; luha lutta ; qaqalladha latta    
	       
diminished, be v. 	 koolataha toofta       
	       
dim	witted n.   gowwaa ni      
	       
dip (medicine) n. 	 gandaa ni       
	       
dip v. 	 cuupha phita       
	       
dipper 	 n.   buduuqoo       
	       
direct (adj.) 	 qajeela, qajeeltu, qajeelo; v. qeefadha fatta       
	       
direction n. kara 	ni        
	       
directly (adv.) 	 burunto (Ital.)        
	       
dirt n. 	 xurii ni; dibiqii ni (Amh.)      
	       
dirty (adj.) 	 xurawa, xurooftu, xurawo; be v.   kotota totta      
	       
disagree v. 	 wal dida didda       
	       
disagreeable, be 	 v. haddhawa dhoofta       
	       
disagreement n. 	 ababaha; wal badii        
	       
disappear v. 	 cali + jedha; bada badda; (suddenly)   futuqa tuxxa     
	       
disapprove v. 	 balfa fita       
	       
disbelieve v. 	 ciicadha catta; seessa sita      
	       
discord n. 	 wal badii        
	       
discourage v. 	 balfisiisa sifta       
	       
discover v. 	 arga gita       
	       
discuss v. 	 qora qorta       
	       
discussion n. 	 marii ni; marumaa ni      
	       
disdain n. 	 tuffii ni       
	       
disgrace v. 	 ceersa sita; qaaneessa sita (Amh.)      
	       
disgust n. 	 balfa i; v.   balfa fita     
	       
disgusted, be v. 	 lilikha litta       
	       
dish n. 	 sahanii ni (Swa.)       
	       
dishonest (adj.) 	 hammaa, hamtuu, hammoo        
	       
dishonestly, behave v. 	 ofadha fatta       
	       
disintegrate v. 	 baqa, baxxa        
	       
disinterested v. 	 irriha rita       
	       
dislike n. 	 lolochiaa ni; v.   baga badda; busheefadha fatta; didaha doofta;   
	       
jibba	jibbita; qoxxisa xxifta       
dislocate v. 	 miliqa lixxa       
	       
dislocated v. 	 buqa'a qaata; n.   meeluu ni; v. meeladha latta    
dislocation n. 	 buqa'a ni       
dismantle v. 	 diiga diidda       
disoriented, be 	 janja jita       
dispersed, be v. 	 firfirfama mta       
disposition n. 	 amala i; miira i      
dispute v. 	 falama mta; falma mita; n. falamaa ni; morma mita; morooma mta;   
	       
	       
	       
	       
	       
disrespect v. 	 ceeqadha qatta; tufadha ta      
dissolve v. 	 baqa, baxxa; bulbula lta; dhuuba bda      
	       
distance (adv.) 	 haloola; at a qorro        
	       
distant (adv.) 	 fagoo; qalaama i       
	       
distended, be v. 	 xillibba'a boofta       
	       
distinct (adj.) 	 gargari        
	       
distort v. 	 falfala lta       
	       
distracted, be v. 	 irranfadha fatta       
	       
distribute v. 	 hirra hirta; qooda qoodda      
	       
distribution n. 	 qooda i       
	       
distrust v. 	 ciicadha catta       
	       
disturb v. 	 caacursa sita ; cunqursa sita; tuqa tuxxa; laaba laabda;    
	       
disturb v. 	 makharsa sita; xaaxaha xoofta      
	       
disturbance n. 	 baqaa ni; xaaxaa ni      
	       
disturbed, be v. 	 bakaka katta; goofisa sifta      
	       
ditch n. 	 boola iti       
	       
dive v. 	 lixa lixxa       
	       
divide v. 	" firfirsa sita; firfita fitta; foo""a ta; fotoqa toxxa; kuta kutta;   "
	       
qooda	qoodda        
divided, be v. 	 cita citta       
divination n. 	 faala i       
division n. 	 qooda i       
dizziness n. 	 xiraa ni       
dizzy, be v. 	 wareera rta       
do v. 	 goodha dhatta (Shoa) ; tolcha chita      
do again v. 	 lammeessa sita       
do bad things v. 	 falfala lta       
do quickly (adv.) shafi (used with jedha) 	       
do rapidly v. 	 sampha phita       
docile (adj.) 	 kasso        
	       
doctor n	 (traditional) cirreessa I; doktor (Eng.); daktarii (Swa.)       
dodder v. 	 leleqa lexxa       
dog n. 	 sarree ni; cuqaa n; sologee ni     
donkey n. 	 harree ni; (stallion)   moochoo ni; foal n.   bukura i ;   
	       
(female) bukee	ni        
door n. 	 sanqaa ni (Amh.); balbala; korboo ni      
doorjamb n. 	 mikikila i       
doorway n. 	 balbala ti       
dossier n. 	 doosii ni (Fr.)       
double v. 	 lammeessa sita       
doubled n. (something) 	 miirree ni       
doubt v. 	 busheefadha fatta; seessa sita; seessefadha fatta;     
	       
n. 	 bonbontii ni; tantammii ni      
dove n. 	 saphaliisa i       
	       
	       
	       
	       
	       
D 	       
	       
	       
	       
D 	       
	       
	       
	       
downpour (of rain) n. 	 tamna        
	       
dowry n. 	 qarata i       
	       
doze v. 	 hirriiba bda; hochiisa chiifta; muga  mudda     
	       
drag v. 	 tirsa sita       
	       
draw a line v. 	 taraara rta       
	       
draw close v. 	 hiiqa hixxa       
	       
draw out v. 	 baasa baafta       
	       
draw water v. 	 too'a toota; waraaba bda      
	       
draw	bar n.   gindaa; mofara i (Amh.)      
	       
dread n. 	 sodaa ni       
	       
dream n. 	 daayyaa ni; objuu ni; v.   objadha jatta    
	       
dress up v. 	 fefadha fatta       
	       
dress v. 	 keeyyadha yatta; n.   (leather) gorfoo ni; (of leather)   gabbara i;   
	       
wayaa 	       
dribble v. 	 goroora rta; gilgila lta      
drink v. 	 dhuga dhudda; liqimsa sita      
drinking glass n. 	 burchuqoo ni (Amh.)       
drip v. 	 biifa fta; copha cophxa; dhimpha phita     
drive away v.	 gussa gussita       
drive v. 	 oofa oofta; sulcha chita      
	       
drizzle v.	gilgila lta; n.   ebelee ni; gilgil; qachacha i; sorroo ni   
drool v. 	 goroora rta; lolochia chita      
drop n. 	 cophaa ni       
droppings n. 	buruurii ni       
drought n. 	 bona i; oolaa ni      
drown v. 	 liqimisa sita       
drowsiness n. 	 muusoo ni       
drowsy, be v. 	 muga mudda; (adj.) muga, mudda,muga;       
	       
muusaha	soofta        
drum (metal) n. 	 barmeela i; barmeena i (Swa.); dibbee ni     
drum v. 	 dhawwa dhoofta       
drunk, be v. 	 macha'a choofta       
dry n. 	 gorma (Amh.); (completely) v.   qawwisa wifta; kafafa  fta;     
	       
boneessa	sita; goga godda; gossa sita; xoolaga laadda     
dry area n. 	 barayaa ni       
dry season n. 	 bona i       
dry, be v. 	 buka'a kaata       
dry, become v. 	 qorqooraha roofta; gu'a guta      
duiker n. 	 (red) abrojii ni   see abroolee; kuruphee ni     
dull (adj.) 	 dooma; sigiga, sigiddu, sigigo        
dumplings n. 	 kurkurfaa ni (Konso)       
dung n. 	 faandoo ni; udaani       
dusk, become 	 dimimiisa miifta; bolgoda dda; n. galgala i     
	       
	       
	       
	       
	       
	       
	       
dust n. 	 awaara; sha'ee ni; dibiqii ni (Amh.); bubuka;      
	       
dhukee	ni; ruruma i; ruusoo ni      
dust v. 	 haxaha xata       
dustpan n. 	 harmoo ni       
dusty, be v. 	 buka'a kaata       
dusty, become v. 	 hurantaha toofta; burquqa xxa; burquqaha qoofta;     
	       
dhukawwa	koofta        
dwarf n. 	 ruphaa ni       
dwarfish (adj.) 	 tuura        
dwell v. 	jira  jirta       
dye (red) n. 	 machallaa ni       
dye v. 	 halla lita; hallu ni      
dynamite n. 	 baruda i       
	       
	       
	       
each one n. 	 namuu ni       
	       
eagle n. .	 risaa ni       
	       
ear n. 	 gurra i; (of sheep) n.   nyuura i     
	       
earlobe n. 	 nyabaa ni       
	       
earnestly (adv.) 	 shonaani, sonaani        
	       
earth n. 	 biyyee ni; lafa ti      
	       
earthworm n. 	 dubriisa i       
	       
earwax n. 	 gurra i; guurii ni      
	       
east n. 	 boroo ni       
	       
easy (adj. ) dhedhanno 	       
	       
eat v. 	 nyaada ta; rumma rumta; well v.   gaadha gaatta;    
	       
(greedily) v. 	 raama ta;       
	       
(too much) v. 	 quranqurawa roofta;       
	       
echo n. 	 hogaa ni; echo v.   giria sifta; qilisa lifta; n. qileesa i   
	       
economize v. 	 qusadha satta       
	       
edge n. 	 edeeda i; raraatoo ni;; qarqara i; gombisa i; fitee ni; giraaba i;  
	       
qarree	ni;        
egg n. 	 buuphaa ni, okokaani       
eight n. + adj. 	 sadeeti        
eighth n. 	 sadeeteessoo ni       
eighty n. 	 sadeetama        
ejaculate v. 	 naqa naxxa       
elastic, be v. 	 huruffaha foofta       
elbow n. 	 ciqilee ni       
	       
elderly n. 	 (person) jaarsa i; jaartii ni (pi.) jaroollee ni  jaroota ti   
elect v. 	 kuradhaa dhoofta       
	       
elephant n. 	 arba i; dannabaa ni; calf n.   rodisa i    
	       
elope v. 	 hawasha wadda; heeruma mta      
elopement n. 	 heeruma i       
	       
	       
	       
	       
	       
D 	       
	       
	       
	       
E 	       
	       
	       
	       
emaciated, become v. 	 haaladha latta       
	       
embankment n. 	 edeeda i; goobsoo ni      
	       
embarrass v. 	 ceersa sita; qaaneessa sita (Amh.); dhiba dhibda;     
	       
dhajiifadha	fatta        
embarrassed, be 	 ceera, rta; luuxaha xoofta; luuxaha xoofta      
embarrassing, do v. 	 faffaha faffoofta       
emerge safely v. 	 qobadha batta       
empty, be v. 	 barbadda'a doofta; ona onta; qullawa loofta;     
	       
(adj.) duwwa; qullaa; sigiga, sigiddu, sigigo; sulla 	       
encircle v. 	 marsa sita       
encircled, be 	 gingeesa sita       
enclosure n. 	 gola ti; maraa ni; moonaa ni     
end n. 	 mummee ni; v. mummaha moofta; mingaa ni; qitisuu ni; qota i;   
	       
qutisuu	ni        
end part n. 	 eegee ni       
end v. 	 fita fitta       
endurance n. 	 obsa i; obsaa ni      
endure v. 	 obsa, obsita        
enemy n. 	 nyaapha i; siddii ni      
energetic (adj.) 	 jabaa, jadbuu, jaboo; (pi.) jajjabaa        
enjoy v. 	 gammada madda       
enlarge v. 	 hiifadha fatta       
enmity n. 	 ormooma i       
	       
enormous n. 	 bachaa ni (Guji); waan guddoo       
ensete n. 	 qaancha i (Amh.); warqii       
enslave v. 	 booji'a jita       
enter v. 	 duuda; seena nta       
entertainment n. 	 kofalchiisaa ni       
entrails n. 	 marumaani        
entrance n. 	 afaan        
entrust v. 	 kenna kennita       
enumerate v. 	 to'adha atta       
envelope n. 	 postaa ni (Ital.)       
envy v. 	 qoxxisa xxifta; n. qoxxee ni; hinaafaa ni     
ephemeral fever (cattle) n. 	 buta i       
equal n. 	 wadhakkaa ni; qixxee       
era n. 	 bara; jabanna i; hojjaa ni      
erect v. 	 dhaaba dhaabda: (adj.)   looko      
erectness n. 	 huriisa i       
err v. 	 lufa lufta; wallaala lta      
erupt v. 	 farqadha qatta       
escape n. 	 baqa i; ba'iisa i; fitee ni; v.   duraa ba'a baata; jalaa ba'a baata;  
	       
duraa mura	rta; fiiga fiidda; miliqa lixxa      
escort n. 	 waheela i       
	       
	       
	       
	       
	       
E 	       
	       
	       
	       
esophagus n. 	 liqimsaa ni       
	       
establish v. 	 qubadha batta; teessisa sifta      
	       
esteem n. 	 saala i; v.   saada saadda     
	       
et cetera 	  faa (suffix)       
	       
eunuch n. 	 mureessa i       
	       
euphorbia n. 	 adama, harkeena; hangayyaa ni; finger euphorbia   aanoo;      
	       
harkeena 	       
evade v. 	 duraa ba'a baata; jalaa ba'a baata      
evaporate v. 	 damfa fita       
evaporation n. 	 aara i       
evasion n. 	 miliqa i; baqa i      
evasive (person) n. 	 mixixama i       
	       
even 	  lie (suffixed to a noun.); even if  when added to a verb      
even if, even though 	 ado+lle        
evening n. 	 galgala i       
everybody n. 	 namuu ni       
everything n. 	 cufa ti; jiblaa ni (Amh.); jimla      
evil (adj.) 	 hammaa, hamtuu, hammoo        
evil (person) n. 	 gudaabee ni       
evil eye n. 	 budaa ni; buda ti; dhora ti     
evil spirit n. 	 jinnii ni (Amh.); shexaana i      
evildoer n. 	 mookicha i; haraamticha i      
exactly (adv.) 	 uma (suffix); qixxee        
exaggerate v. 	 boonsa sita; wirsa sita; gumbisa fta     
examination n. 	 fatana i (Amh.); ilaalachaa ni      
examine v. 	 ilaala lta; marmaara rta; midhaafadha fatta     
example n. 	 fakkeena i; falakeesa i; qota i; raraha i; roga i   
exasperate v. 	 hifachiisa chiifta       
exasperated, be v. 	 aara rta       
excavate v. 	 qota qotta       
excavation n. 	 qotii ni; qotiisa i      
exceed v. 	 caala lta       
excel v. 	 caala lta       
excellent (adj.) 	 fullaa        
except (prep.) 	 malee        
exchange v. 	 gurgura rta; jijjira  rta      
excite v. 	 laaba laabda       
excited, be v. 	 buraaqa raxxa; cokkisa kifta; mirqaana nata; rifadha fatta;    
	       
wareera	rta        
excitement n. 	 koqisa i; rifachaa ni      
excreta n. 	 udaani        
excused, be v. 	 dhiifama mta       
exhale v. 	 aara rta       
exhaust v. 	 fita fitta; ijeesssa ijeefta      
	       
	       
	       
	       
	       
E 	       
	       
	       
	       
exhausted, be v. 	 mamarqama mta; dadhabba bda; gagaba bda     
	       
existence n. 	 adunyaa ni ; jira  jirta      
	       
expand v. 	 buupha phta;; tiibba'a boofta      
	       
expect v. 	 eega eedda       
	       
expectation n. 	 eegachaa ni       
	       
expert (about horses) n. 	 boquu ni       
	       
expert n. 	 fuundii ni (Swa.); ogeessa i      
	       
explain v. 	 diideesa sita       
	       
explode v. 	 dibbisa bifta; tokka'a kaata (Amh.)      
	       
exploiter n. 	 nyaatuu ni       
	       
explosion n. 	 billa i (Amh.); bombii ni; dibbeesa i; dibbiisaa ni; dibla liti   
	       
express v. 	 maladha latta       
	       
extend v. 	 diriirsa sita; unta untita      
	       
extensive, be v. 	 galma galmita       
	       
exterminate v. 	 rawachiisa chiifta       
	       
exterminated v. 	 raawadha watta       
	       
exterminated, be v. 	 dhuma dhumta       
	       
extinguish v. 	 dhaamfa fita       
	       
extremity n. 	 fiixee ni       
	       
exult v. 	 faarsa sita       
	       
exzema, contagious n. 	 adarraa ni, a disease of cattle       
	       
eye (swollen) n. 	 bokkoo ni       
	       
eye n. 	 ila ilti       
	       
eye socket n. 	 jeema i       
	       
eyeglasses n. 	 mititirii ni       
	       
eyelet n. 	 funaleessa i       
	       
	       
	       
E 	       
	       
	       
	       
F 	       
	       
	       
	       
face n. 	 fuula i       
	       
factory n. 	 fabrikaa ni (Ital.)       
	       
fade v. 	 xoolaga laadha       
	       
faeces n. 	 udaani        
	       
fail v. 	 dhaba bda; baadha baatta; dhibaadha baatta; hanqadha qatta; jiga jidda   
	       
fail one's duty v. 	 babadeessa sita       
	       
faint v. 	 gagaba bda: (adj.)   coora i     
	       
fair (adj.) 	 culluu        
	       
faith n. 	 dhugeefachaa ni; amantii ni      
	       
fake v. 	 buxuula lta       
	       
falcon n. 	 qoree ni       
	       
fall v. 	 bua, buuta; qaari'a rita; jiga jidda; konkolada laata     
	       
falsify v. 	 jijjira  rta       
	       
falter v. 	 silala ta       
	       
fame n. 	 gurra i       
	       
familiarity n. 	 geerumaa ni       
	       
	       
	       
	       
	       
family n. 	 warra i; warreena i      
	       
famine n. 	 beela ti       
	       
fan n. 	 hafarree ni       
	       
fang n. 	 gaadee ni       
	       
far (adv.) 	 fago (of time or space)        
	       
far away (adv. ) 	 dhidhima i       
	       
farmer n. 	 gabbaree ni (Amh.)       
	       
fart n. 	 shikee ni; dhuufa i; v. shikisa shikicca; koka kotta; dhuufa ta   
	       
fast v.	 agaaba bda  ni; burunto (Ital.)      
	       
fasten v. 	 fanissa nifta       
	       
fastened v. 	 xurifama mta       
	       
fasting n. 	 agabuu ni; xoomii ni (Amh.)      
	       
fat (adj.) 	 gabba, gabbo, gabbo; n. ( around the stomach) n.   moora i;      
	       
cooma	i; dhadhaa ni; qorra i; fat (of throat)   qunee ni;    
	       
(person) 	 kotomboola i       
	       
fat, be v. 	 dhofaha foofta; dhodhofaha foofta; dhofoka fotta; kulalaha loofta    
	       
father n. 	 abbaa ni       
	       
fatherhood n. 	 abbooma i       
	       
fatness n. 	 gabbina i       
	       
fatty (adj.) 	 cooma, coomtu        
	       
fault n. 	 yakka ni       
	       
fear n. 	 birraa ni; sooda; bokaraa ni; bokarfachaa ni; v. bokeefadha fatta;    
	       
bakaakaa	ni; birradha ratta; naasuu ni; rifachaa ni; sodaa ni; umna i;   
	       
koolee	ni; koolawaa ni; giddaha doofta; laga ladda; nyaraha raata;    
	       
saalfadha	fatta        
fearful, be v. 	 na'a naata       
fearlessness n. 	 jannooma i; jannuuma i      
feather n. 	 koola i       
	       
feeble (thing or person) n. 	 laacaa ni       
	       
feeble, be v. 	 mujuja mujujja; qodhabaha boofta; soonso'a soofta     
feeble, become v. 	 qerebadha batta; n. animal   qerebaa ni;     
	       
qerebduu	ni        
feebleness n. 	 lulama i; lulamaa ni      
feed v. 	 gololca chita; soora rta      
feeding n. 	 golola i       
	       
feel better v. 	 bayanadha natta; miira miirta      
feel unwell v. 	 golgolaha loofta       
feelings n. 	 ribuu ni       
female donkey n. 	 bukee ni       
fenugreek n. 	 fixoo ni       
fermented, be v. 	 buka'a koofta       
fertile place n 	 rifanoo ni       
fertile, be v. 	 haawwoma mta; hosooba bda      
fetch v. 	 fuddha fuuta; fida fidda (Amh.); (water) v.   dhaacha chita;    
	       
	       
	       
	       
	       
F 	       
	       
	       
	       
fetters n. 	 haabbaassa i (Amh.)       
	       
fever n. 	 qandhoo ni       
	       
feverish, be v. 	 qandhadha dhatta       
	       
few (adj.) 	 gari; saara i       
	       
field n. 	 obru; masaa ni (Amh.)       
	       
fifty n. 	 shantama i       
	       
fig tree n. 	 odaa ni       
	       
fight n. 	 lolla i       
	       
figs (wild) n. 	 qilxaa ni       
	       
file (metal) n. 	 shiifa; sofaa ni (Amh.); masagaba i (Amh.); moroda i (Amh.)     
	       
